2010010101;17;49.383000;1.181667
2010010104;7;49.725167;-1.939833
2010010107;2;49.180000;-0.456167
2010010110;15;44.565667;6.502333
2010010113;18;42.540667;9.485167
2010010116;7;49.725167;-1.939833
2010010119;2;47.267833;5.088333
2010010122;15;50.136000;1.834000
2010010201;14;42.737167;2.872833
2010010204;5;50.136000;1.834000
2010010207;16;43.079333;5.940833
2010010210;14;-22.344167;40.340667
2010010213;16;50.570000;3.097500
2010010216;8;48.581000;5.959833
2010010219;15;43.909833;-0.500167
2010010222;21;47.614333;7.510000
2010010301;10;43.437667;5.216000
2010010304;18;43.577000;3.963167
2010010307;9;45.861167;1.175000
2010010310;12;48.825833;-3.473167
2010010313;8;50.136000;1.834000
2010010316;17;47.150000;-1.608833
2010010319;7;47.150000;-1.608833
2010010322;5;47.614333;7.510000
2010010401;2;48.445500;0.110167
2010010404;10;49.725167;-1.939833
2010010407;-1;50.570000;3.097500
2010010410;8;46.046833;-1.411500
2010010413;24;-20.892500;55.528667
2010010416;4;46.766333;-56.179167
2010010419;-1;47.294333;-3.218333
2010010422;6;47.444500;0.727333
2010010501;6;48.825833;-3.473167
2010010504;-4;44.581167;4.733000
2010010507;15;-20.892500;55.528667
2010010510;0;44.118500;3.019500
2010010513;1;49.180000;-0.456167
2010010516;5;50.570000;3.097500
2010010519;14;49.725167;-1.939833
2010010522;4;48.324667;4.020000
2010010601;16;48.716833;2.384333
2010010604;-0;47.267833;5.088333
2010010607;1;49.725167;-1.939833
2010010610;9;48.324667;4.020000
2010010613;13;48.444167;-4.412000
2010010616;17;48.324667;4.020000
2010010619;-0;50.570000;3.097500
2010010622;4;43.005333;1.106833
2010010701;19;44.830667;-0.691333
2010010704;-1;14.595333;-60.995667
2010010707;-5;45.861167;1.175000
2010010710;-1;41.918000;8.792667
2010010713;10;47.150000;-1.608833
2010010716;16;47.150000;-1.608833
2010010719;7;-22.344167;40.340667
2010010722;-2;50.570000;3.097500
2010010801;7;49.725167;-1.939833
2010010804;13;45.861167;1.175000
2010010807;21;46.046833;-1.411500
2010010810;17;3.890667;-51.804667
2010010813;21;50.570000;3.097500
2010010816;14;48.444167;-4.412000
